"SPOT.Open","SPOT.High","SPOT.Low","SPOT.Close","SPOT.Volume","SPOT.Adjusted","Date"
247.449996948242,251.259994506836,244.610000610352,250.440002441406,822800,250.440002441406,2020-11-17
251.25,255.660003662109,246.619995117188,253.020004272461,979100,253.020004272461,2020-11-18
252.929992675781,254.940002441406,247.550003051758,249.940002441406,1372700,249.940002441406,2020-11-19
251.820007324219,262.899993896484,250.279998779297,260,1057000,260,2020-11-20
260.010009765625,270.779998779297,260.010009765625,268.859985351562,947300,268.859985351562,2020-11-23
267.910003662109,274.190002441406,266.5,270.140014648438,826900,270.140014648438,2020-11-24
269,274.720001220703,268.019989013672,270.089996337891,720600,270.089996337891,2020-11-25
269.459991455078,277.779998779297,267.329986572266,277.619995117188,774200,277.619995117188,2020-11-27
277,291.720001220703,272.101989746094,291.369995117188,1800200,291.369995117188,2020-11-30
291.040008544922,292.010009765625,282.239990234375,284.989990234375,1227100,284.989990234375,2020-12-01
283.230010986328,330.869995117188,281.190002441406,320.890014648438,8178500,320.890014648438,2020-12-02
317.5,332,314.5,316.429992675781,2420000,316.429992675781,2020-12-03
317.290008544922,323.808013916016,315.679992675781,319.769989013672,1979300,319.769989013672,2020-12-04
319.799987792969,342.359985351562,319,342,2287600,342,2020-12-07
337,342.920013427734,330.285003662109,332.859985351562,1620600,332.859985351562,2020-12-08
337.279998779297,338.216003417969,324.535003662109,332.450012207031,1682200,332.450012207031,2020-12-09
329.640014648438,344.980010986328,327.070007324219,343.299987792969,1268900,343.299987792969,2020-12-10
342.299987792969,346.440002441406,333.570007324219,341.220001220703,1657600,341.220001220703,2020-12-11
340.5,341.667999267578,319.519989013672,320.339996337891,2117300,320.339996337891,2020-12-14
324.070007324219,330.820007324219,320.501007080078,326.970001220703,2198600,326.970001220703,2020-12-15
316.519989013672,323.880004882812,312.209014892578,318.529998779297,1574700,318.529998779297,2020-12-16
323.130004882812,329.890014648438,319.130004882812,328.059997558594,960700,328.059997558594,2020-12-17
333.429992675781,337.200012207031,330.494995117188,336.100006103516,1090800,336.100006103516,2020-12-18
330.059997558594,333.5,322.809997558594,325.570007324219,1076800,325.570007324219,2020-12-21
328.070007324219,328.070007324219,319.420013427734,321.959991455078,958500,321.959991455078,2020-12-22
322.149993896484,335.769989013672,321.589996337891,330.790008544922,1131600,330.790008544922,2020-12-23
329.809997558594,336.339996337891,327.619995117188,328.390014648438,435800,328.390014648438,2020-12-24
331.279998779297,331.549987792969,316,317.290008544922,898200,317.290008544922,2020-12-28
320.950012207031,323.899993896484,310.549987792969,318.429992675781,687900,318.429992675781,2020-12-29
323.470001220703,323.470001220703,316.170013427734,319.350006103516,631500,319.350006103516,2020-12-30
323.5,323.5,312.470001220703,314.660003662109,587100,314.660003662109,2020-12-31
317.420013427734,318.690002441406,305.510009765625,311,945700,311,2021-01-04
309.480010986328,316.149993896484,309.079986572266,313.720001220703,610400,313.720001220703,2021-01-05
308.160003662109,323.390014648438,307.035003662109,314.239990234375,1024800,314.239990234375,2021-01-06
317.440002441406,332.600006103516,316.25,331.359985351562,977200,331.359985351562,2021-01-07
335,354.600006103516,333.290008544922,353.109985351562,2199700,353.109985351562,2021-01-08
350.059997558594,354,341.589996337891,344.070007324219,1105600,344.070007324219,2021-01-11
344,349.779998779297,341.459991455078,347.010009765625,829600,347.010009765625,2021-01-12
348,370.950012207031,344.5,347.059997558594,2412100,347.059997558594,2021-01-13
349.700012207031,349.700012207031,339.059997558594,342.269989013672,853800,342.269989013672,2021-01-14
330.720001220703,334.690002441406,317.010009765625,319.820007324219,2352000,319.820007324219,2021-01-15
320.350006103516,326.942993164062,317.070007324219,319.75,1252600,319.75,2021-01-19
328.829986572266,338.200012207031,325.390014648438,331.410003662109,1044800,331.410003662109,2021-01-20
337.910003662109,350.25,333.779998779297,348.299987792969,1641800,348.299987792969,2021-01-21
346.269989013672,348.279998779297,338.170013427734,338.959991455078,1083300,338.959991455078,2021-01-22
344,345.049987792969,326.660003662109,333.609985351562,1393700,333.609985351562,2021-01-25
337.239990234375,340.5,332.329986572266,337.010009765625,818300,337.010009765625,2021-01-26
330.75,344.989990234375,323.589996337891,330.190002441406,1549000,330.190002441406,2021-01-27
330.179992675781,331.329986572266,317.119995117188,325.440002441406,1532100,325.440002441406,2021-01-28
328.589996337891,331.390014648438,312.829986572266,315,1485500,315,2021-01-29
319.450012207031,332.700012207031,315.799987792969,332.649993896484,1186200,332.649993896484,2021-02-01
339.679992675781,350.25,338.850006103516,345.049987792969,1744500,345.049987792969,2021-02-02
321.5,327.299987792969,310.700012207031,317.25,6296200,317.25,2021-02-03
319.309997558594,323.980010986328,312.899993896484,314.700012207031,2451300,314.700012207031,2021-02-04
316.230010986328,316.760009765625,306,310.769989013672,2342800,310.769989013672,2021-02-05
311.929992675781,325.079986572266,311.679992675781,323.790008544922,1609000,323.790008544922,2021-02-08
323.369995117188,334.619995117188,320.410003662109,334,1440500,334,2021-02-09
334.339996337891,339.619995117188,325.630004882812,335.709991455078,1492000,335.709991455078,2021-02-10
335.899993896484,337.881988525391,325.950012207031,331.899993896484,1032400,331.899993896484,2021-02-11
333.940002441406,340.429992675781,329.394989013672,339.700012207031,1119500,339.700012207031,2021-02-12
343,364,343,353.730010986328,1923600,353.730010986328,2021-02-16
349.410003662109,355.709991455078,342.730010986328,355.190002441406,1283000,355.190002441406,2021-02-17
353.570007324219,358.709014892578,341.589996337891,354.880004882812,1386500,354.880004882812,2021-02-18
355.619995117188,365.989990234375,354.178009033203,364.589996337891,1313800,364.589996337891,2021-02-19
360.910003662109,387.440002441406,344,349.910003662109,4523400,349.910003662109,2021-02-22
332.570007324219,337.880004882812,310.339996337891,336.309997558594,4162000,336.309997558594,2021-02-23
335.220001220703,339.200012207031,324,334.690002441406,1477600,334.690002441406,2021-02-24
330,335,302.600006103516,303.059997558594,2428200,303.059997558594,2021-02-25
300,311.829986572266,295.339996337891,307.380004882812,2595700,307.380004882812,2021-02-26
313,321.779998779297,307.399993896484,321.279998779297,1539500,321.279998779297,2021-03-01
320.070007324219,326.149993896484,316.339996337891,322.739990234375,1483000,322.739990234375,2021-03-02
322.730010986328,323.040008544922,299.890014648438,300.239990234375,1636600,300.239990234375,2021-03-03
297.480010986328,301.279998779297,278.230010986328,285.010009765625,2591400,285.010009765625,2021-03-04
290,291.369995117188,261.600006103516,274.980010986328,2599400,274.980010986328,2021-03-05
275,276.589996337891,254.919998168945,258.329986572266,2108000,258.329986572266,2021-03-08
274.600006103516,279.640014648438,268.600006103516,273.579986572266,2424000,273.579986572266,2021-03-09
282.730010986328,284.019989013672,269.399993896484,270.190002441406,1319500,270.190002441406,2021-03-10
276.010009765625,289.399993896484,273.070007324219,286.959991455078,1854800,286.959991455078,2021-03-11
280.059997558594,281.869995117188,273,279.890014648438,963500,279.890014648438,2021-03-12
282.989990234375,286.380004882812,275.670013427734,285.459991455078,866800,285.459991455078,2021-03-15
289,292.660003662109,280.269989013672,284.690002441406,891800,284.690002441406,2021-03-16
277.399993896484,287.459991455078,272.220001220703,283.350006103516,844700,283.350006103516,2021-03-17
278.450012207031,279.920013427734,266.144989013672,271.730010986328,1466800,271.730010986328,2021-03-18
269.989990234375,275.200012207031,267.459991455078,272.109985351562,1327100,272.109985351562,2021-03-19
276,278.570007324219,273.214996337891,275.470001220703,606500,275.470001220703,2021-03-22
274,275.630004882812,266.549987792969,267.299987792969,802700,267.299987792969,2021-03-23
270.869995117188,271.660003662109,258.059997558594,258.679992675781,1053100,258.679992675781,2021-03-24
255,258.970001220703,250.100006103516,254.630004882812,1657700,254.630004882812,2021-03-25
258.510009765625,263.920013427734,251,261.309997558594,1267700,261.309997558594,2021-03-26
261,261.605010986328,250.380004882812,252.589996337891,1078700,252.589996337891,2021-03-29
253.639999389648,261.440002441406,249,257.690002441406,1496000,257.690002441406,2021-03-30
266.279998779297,271.869995117188,263.899993896484,267.950012207031,1194500,267.950012207031,2021-03-31
271.190002441406,280,270.529998779297,273.100006103516,1183800,273.100006103516,2021-04-01
279.559997558594,279.989990234375,272.089996337891,273.299987792969,949300,273.299987792969,2021-04-05
