"IBGX.MI.Open","IBGX.MI.High","IBGX.MI.Low","IBGX.MI.Close","IBGX.MI.Volume","IBGX.MI.Adjusted","Date"
174.339996337891,174.410003662109,174.320007324219,174.360000610352,2705,166.341323852539,2021-02-19
174.330001831055,174.559997558594,174.240005493164,174.479995727539,9345,166.455795288086,2021-02-22
174.410003662109,174.410003662109,174.229995727539,174.339996337891,5552,166.322235107422,2021-02-23
174.380004882812,174.440002441406,174.169998168945,174.259994506836,7488,166.245910644531,2021-02-24
174.25,174.25,173.75,173.850006103516,9217,165.854782104492,2021-02-25
174,174.070007324219,173.850006103516,174.039993286133,4812,166.036026000977,2021-02-26
174.179992675781,174.5,174.179992675781,174.440002441406,10786,166.41764831543,2021-03-01
174.429992675781,174.520004272461,174.309997558594,174.5,7632,166.474884033203,2021-03-02
174.539993286133,174.539993286133,174.279998779297,174.300003051758,11429,166.284088134766,2021-03-03
174.419998168945,174.419998168945,174.229995727539,174.339996337891,6499,166.322235107422,2021-03-04
174.259994506836,174.339996337891,174.220001220703,174.300003051758,6236,166.284088134766,2021-03-05
174.190002441406,174.350006103516,174.190002441406,174.259994506836,9008,166.245910644531,2021-03-08
174.199996948242,174.470001220703,174.199996948242,174.380004882812,7054,166.360412597656,2021-03-09
174.479995727539,174.479995727539,174.320007324219,174.410003662109,7614,166.389022827148,2021-03-10
174.449996948242,174.669998168945,174.380004882812,174.600006103516,5520,166.570297241211,2021-03-11
174.570007324219,174.619995117188,174.389999389648,174.460006713867,5411,166.436737060547,2021-03-12
174.580001831055,174.679992675781,174.479995727539,174.639999389648,11915,166.608444213867,2021-03-15
174.619995117188,174.699996948242,174.580001831055,174.639999389648,5793,166.608444213867,2021-03-16
