"ADBE.Open","ADBE.High","ADBE.Low","ADBE.Close","ADBE.Volume","ADBE.Adjusted","Date"
517.340026855469,523.789978027344,512.669982910156,514.830017089844,2303700,514.830017089844,2023-07-14
513,522.690002441406,512.380004882812,522,2645600,522,2023-07-17
519.640014648438,535.130004882812,517.380004882812,532.22998046875,4093100,532.22998046875,2023-07-18
534.47998046875,539,526.059997558594,527.169982910156,3383200,527.169982910156,2023-07-19
522.030029296875,528.309997558594,514.090026855469,516.880004882812,3264500,516.880004882812,2023-07-20
521.75,529.690002441406,519.280029296875,520.22998046875,8099500,520.22998046875,2023-07-21
520,524.840026855469,514.859985351562,523.859985351562,2260500,523.859985351562,2023-07-24
519.419982910156,526.880004882812,517.919982910156,525.340026855469,2472100,525.340026855469,2023-07-25
520.489990234375,521.099975585938,510.440002441406,514.549987792969,2918700,514.549987792969,2023-07-26
523.159973144531,527.900024414062,511.239990234375,513.969970703125,2477200,513.969970703125,2023-07-27
515.429992675781,530.320007324219,514.630004882812,528.869995117188,2810000,528.869995117188,2023-07-28
541.869995117188,552.940002441406,541.869995117188,546.169982910156,4059800,546.169982910156,2023-07-31
545.780029296875,552.02001953125,541.669982910156,549.099975585938,2274000,549.099975585938,2023-08-01
539.320007324219,539.989990234375,526.5,530.299987792969,2971000,530.299987792969,2023-08-02
523,530.909973144531,522.219970703125,523.760009765625,2183700,523.760009765625,2023-08-03
526.739990234375,535.630004882812,522.119995117188,526.880004882812,2462900,526.880004882812,2023-08-04
530,532.580017089844,523.52001953125,529.72998046875,1777600,529.72998046875,2023-08-07
523.989990234375,524.580017089844,515.25,520.599975585938,2626100,520.599975585938,2023-08-08
520.549987792969,520.969970703125,509.529998779297,513.780029296875,1843800,513.780029296875,2023-08-09
521.030029296875,523.219970703125,512.97998046875,515.830017089844,1901700,515.830017089844,2023-08-10
510.829986572266,514.900024414062,506.369995117188,508.450012207031,1930600,508.450012207031,2023-08-11
506.779998779297,522.549987792969,505.029998779297,522.25,2052500,522.25,2023-08-14
518.349975585938,522.039978027344,516.059997558594,518.700012207031,1824300,518.700012207031,2023-08-15
517.809997558594,523.150024414062,514.169982910156,514.489990234375,1541300,514.489990234375,2023-08-16
525,525.489990234375,510.559997558594,511.670013427734,2455800,511.670013427734,2023-08-17
504.649993896484,510.049987792969,503.899993896484,508.130004882812,2140100,508.130004882812,2023-08-18
510.290008544922,522.97998046875,510.290008544922,520.469970703125,2428300,520.469970703125,2023-08-21
529.719970703125,530,518.349975585938,519.47998046875,1495500,519.47998046875,2023-08-22
522.72998046875,535.25,519.239990234375,530.710021972656,2336900,530.710021972656,2023-08-23
539,539.669982910156,511.049987792969,512.429992675781,2950200,512.429992675781,2023-08-24
514.919982910156,528.429992675781,514.469970703125,525.059997558594,2308300,525.059997558594,2023-08-25
525.700012207031,533.510009765625,523.97998046875,529.919982910156,1684100,529.919982910156,2023-08-28
527.700012207031,541.969970703125,526.150024414062,540.570007324219,2167000,540.570007324219,2023-08-29
540.099975585938,546,536.090026855469,545.359985351562,1930300,545.359985351562,2023-08-30
547,562.099975585938,546.760009765625,559.340026855469,3919300,559.340026855469,2023-08-31
564.799987792969,569.97998046875,558.52001953125,563.210021972656,2234100,563.210021972656,2023-09-01
557.880004882812,567.590026855469,555.419982910156,564.880004882812,2349700,564.880004882812,2023-09-05
560.450012207031,564.059997558594,555.849975585938,561.940002441406,2299900,561.940002441406,2023-09-06
554,561.830017089844,551.080017089844,560.460021972656,2089400,560.460021972656,2023-09-07
568.900024414062,570.239990234375,558.030029296875,560.359985351562,2262000,560.359985351562,2023-09-08
562,565.429992675781,556.700012207031,564.5,2083300,564.5,2023-09-11
555.630004882812,559.090026855469,540.369995117188,542.210021972656,3961300,542.210021972656,2023-09-12
557.02001953125,559.849975585938,546.429992675781,553.559997558594,3465200,553.559997558594,2023-09-13
551.090026855469,555.190002441406,544.340026855469,552.159973144531,4786900,552.159973144531,2023-09-14
532.109985351562,537.690002441406,523.619995117188,528.890014648438,9774500,528.890014648438,2023-09-15
524.22998046875,533.97998046875,522.179992675781,532.419982910156,2650700,532.419982910156,2023-09-18
531.349975585938,542.400024414062,529.469970703125,541.690002441406,2385800,541.690002441406,2023-09-19
541.690002441406,548.849975585938,535.72998046875,535.780029296875,2626000,535.780029296875,2023-09-20
519.47998046875,526.289978027344,513.400024414062,513.880004882812,3844600,513.880004882812,2023-09-21
513.090026855469,518.150024414062,508.829986572266,512.900024414062,2702100,512.900024414062,2023-09-22
511.450012207031,514.25,507.220001220703,511.600006103516,2219500,511.600006103516,2023-09-25
