"MELI.Open","MELI.High","MELI.Low","MELI.Close","MELI.Volume","MELI.Adjusted","Date"
1458.2900390625,1460.65002441406,1401.34997558594,1439.28002929688,582400,1439.28002929688,2020-11-24
1447.91003417969,1484.22998046875,1445,1480.35998535156,489400,1480.35998535156,2020-11-25
1480,1519.18005371094,1463.27001953125,1513.43005371094,286800,1513.43005371094,2020-11-27
1529.51000976562,1558.26000976562,1475.84997558594,1553.32995605469,722600,1553.32995605469,2020-11-30
1556.0400390625,1577,1516.55004882812,1521.66003417969,558100,1521.66003417969,2020-12-01
1517.5400390625,1525.39001464844,1483.33996582031,1522.85998535156,468500,1522.85998535156,2020-12-02
1537.30004882812,1569.9599609375,1533.30004882812,1560.33996582031,402700,1560.33996582031,2020-12-03
1566.82995605469,1566.82995605469,1529,1557.38000488281,290900,1557.38000488281,2020-12-04
1557.19995117188,1589.10998535156,1551.43005371094,1575.59997558594,358800,1575.59997558594,2020-12-07
1580,1628.91003417969,1575,1615.88000488281,401400,1615.88000488281,2020-12-08
1619.88000488281,1619.88000488281,1517.08996582031,1536.5400390625,858000,1536.5400390625,2020-12-09
1531.55004882812,1598,1512.59997558594,1589.52001953125,447200,1589.52001953125,2020-12-10
1597,1606.63000488281,1572.03002929688,1606.63000488281,479200,1606.63000488281,2020-12-11
1612,1640,1610,1618.06005859375,479700,1618.06005859375,2020-12-14
1634.10998535156,1676.92004394531,1634.10998535156,1668.98999023438,528400,1668.98999023438,2020-12-15
1670,1675.22998046875,1640,1669.5400390625,514400,1669.5400390625,2020-12-16
1671.77001953125,1694,1661.46997070312,1679.98999023438,375700,1679.98999023438,2020-12-17
1697.66003417969,1727.96997070312,1676.38000488281,1723.68005371094,531800,1723.68005371094,2020-12-18
1707.65002441406,1726.7099609375,1665.30004882812,1697.89001464844,457100,1697.89001464844,2020-12-21
1713.65002441406,1735.75,1701.68005371094,1732.39001464844,309800,1732.39001464844,2020-12-22
1729.26000976562,1735.39001464844,1667.01000976562,1670.01000976562,419100,1670.01000976562,2020-12-23
1672,1694.47998046875,1665.90002441406,1690.47998046875,132800,1690.47998046875,2020-12-24
1700,1703.31994628906,1625.69995117188,1663.71997070312,285900,1663.71997070312,2020-12-28
1680,1689.41003417969,1640.03002929688,1673.48999023438,278300,1673.48999023438,2020-12-29
1690,1723.9599609375,1659.59997558594,1712.93994140625,304300,1712.93994140625,2020-12-30
1718.58996582031,1718.58996582031,1660.90002441406,1675.21997070312,254200,1675.21997070312,2020-12-31
1690.98999023438,1725,1612.56994628906,1640,851000,1640,2021-01-04
1639.38000488281,1704.25,1630,1650,530400,1650,2021-01-05
1627.31994628906,1627.31994628906,1564.94995117188,1571.97998046875,584700,1571.97998046875,2021-01-06
1616.96997070312,1629.32995605469,1570.56994628906,1597.96997070312,1170800,1597.96997070312,2021-01-07
1623.83996582031,1719.26000976562,1612.82995605469,1719,737300,1719,2021-01-08
1701.16003417969,1794.78002929688,1675,1761.55004882812,594100,1761.55004882812,2021-01-11
1792.07995605469,1845.25,1777.94995117188,1810.08996582031,616300,1810.08996582031,2021-01-12
1823,1830,1766.68994140625,1798.18994140625,506700,1798.18994140625,2021-01-13
1814,1889.61999511719,1814,1852.53002929688,547000,1852.53002929688,2021-01-14
1860.01000976562,1877.10998535156,1805.4599609375,1851.78002929688,534800,1851.78002929688,2021-01-15
1888.17004394531,1938.17004394531,1861,1913.2099609375,707400,1913.2099609375,2021-01-19
1960,1991.88000488281,1929.52001953125,1984.33996582031,639400,1984.33996582031,2021-01-20
2020,2020,1909.90002441406,1940.18994140625,617900,1940.18994140625,2021-01-21
1953.27001953125,1971.77001953125,1903.28002929688,1965.05004882812,515800,1965.05004882812,2021-01-22
2006,2012.80004882812,1863.84997558594,1880,587500,1880,2021-01-25
1900.76000976562,1908.88000488281,1781.2099609375,1807.73999023438,713700,1807.73999023438,2021-01-26
1803.55004882812,1828.30004882812,1700,1718.69995117188,1023100,1718.69995117188,2021-01-27
1770.02001953125,1850.96997070312,1732.7099609375,1844.72998046875,639900,1844.72998046875,2021-01-28
1799.51000976562,1833.16003417969,1744.15002441406,1779.51000976562,694800,1779.51000976562,2021-01-29
1812.57995605469,1903.7099609375,1810.01000976562,1896.7900390625,606600,1896.7900390625,2021-02-01
1915.81005859375,1938.58996582031,1850.77001953125,1909.98999023438,464500,1909.98999023438,2021-02-02
1932.11999511719,1932.11999511719,1863.27001953125,1870.52001953125,319400,1870.52001953125,2021-02-03
1905,1912.32995605469,1860,1893.34997558594,370000,1893.34997558594,2021-02-04
1912.88000488281,1938.5,1895.73999023438,1918.13000488281,306300,1918.13000488281,2021-02-05
1948,1948,1863.5400390625,1900.89001464844,475100,1900.89001464844,2021-02-08
1893.26000976562,1895,1863.67004394531,1878,341200,1878,2021-02-09
1878,1930,1863.98999023438,1905.27001953125,339400,1905.27001953125,2021-02-10
1934.98999023438,1955,1908.80004882812,1942.25,376600,1942.25,2021-02-11
1934.15002441406,1947.93994140625,1880,1943,308400,1943,2021-02-12
1958.5,2006.7099609375,1925.42004394531,1939.86999511719,379600,1939.86999511719,2021-02-16
1913.18994140625,1915.89001464844,1827.68994140625,1890.25,431100,1890.25,2021-02-17
1852,1894.93994140625,1830.66003417969,1891.08996582031,339100,1891.08996582031,2021-02-18
1891.08996582031,1955.73999023438,1891.08996582031,1910.39001464844,475400,1910.39001464844,2021-02-19
1878.47998046875,1881.5,1783.58996582031,1788.81994628906,738300,1788.81994628906,2021-02-22
1717.17004394531,1779,1657.59997558594,1775.7900390625,710500,1775.7900390625,2021-02-23
1769.30004882812,1784,1699.53002929688,1714,683200,1714,2021-02-24
1703.28002929688,1730,1594.66003417969,1613.06005859375,699700,1613.06005859375,2021-02-25
1636.03002929688,1660,1575,1638.10998535156,765100,1638.10998535156,2021-02-26
1691.03002929688,1724.22998046875,1665.28002929688,1713.28002929688,753800,1713.28002929688,2021-03-01
1700,1707.86999511719,1606.52001953125,1642.41003417969,1057600,1642.41003417969,2021-03-02
1639.11999511719,1655,1518.71997070312,1528,1120700,1528,2021-03-03
1519,1582.93994140625,1407.39001464844,1458.64001464844,1264700,1458.64001464844,2021-03-04
1475.51000976562,1493,1348.91003417969,1470.23999023438,1269500,1470.23999023438,2021-03-05
1450,1488.97998046875,1362.5,1369.5400390625,876900,1369.5400390625,2021-03-08
1451.98999023438,1483.86999511719,1405.51000976562,1452.01000976562,931000,1452.01000976562,2021-03-09
1531.5400390625,1531.68994140625,1429.57995605469,1435.56994628906,579200,1435.56994628906,2021-03-10
1509.98999023438,1588,1490.23999023438,1570.78002929688,875100,1570.78002929688,2021-03-11
1531,1563.11999511719,1506.78002929688,1550.15002441406,472800,1550.15002441406,2021-03-12
1536.58996582031,1581.31994628906,1532.08996582031,1581.31994628906,355200,1581.31994628906,2021-03-15
1600.80004882812,1620.10998535156,1529.2900390625,1550.48999023438,400300,1550.48999023438,2021-03-16
1516,1555,1480,1537.61999511719,470700,1537.61999511719,2021-03-17
1488.51000976562,1500,1433.18005371094,1436.17004394531,729800,1436.17004394531,2021-03-18
1438,1469.61999511719,1420.01000976562,1448.89001464844,608800,1448.89001464844,2021-03-19
1454.64001464844,1482.65002441406,1454.10998535156,1476.10998535156,383800,1476.10998535156,2021-03-22
