"MEUD.MI.Open","MEUD.MI.High","MEUD.MI.Low","MEUD.MI.Close","MEUD.MI.Volume","MEUD.MI.Adjusted","Date"
246.699996948242,248.050003051758,245.699996948242,247.699996948242,8776,247.699996948242,2025-01-27
248.649993896484,249.600006103516,248.050003051758,248.649993896484,8377,248.649993896484,2025-01-28
249.75,250.449996948242,249.449996948242,249.899993896484,21712,249.899993896484,2025-01-29
250.600006103516,252.199996948242,250.050003051758,252.149993896484,8675,252.149993896484,2025-01-30
252.75,253.550003051758,252,252.399993896484,11219,252.399993896484,2025-01-31
248.550003051758,250.600006103516,248.199996948242,250.399993896484,12326,250.399993896484,2025-02-03
250.300003051758,251,248.649993896484,250.949996948242,7438,250.949996948242,2025-02-04
250.899993896484,252.100006103516,250.199996948242,252.100006103516,11429,252.100006103516,2025-02-05
253.25,255.100006103516,253.100006103516,254.949996948242,13382,254.949996948242,2025-02-06
254.899993896484,255.300003051758,253.699996948242,253.949996948242,11429,253.949996948242,2025-02-07
254.550003051758,255.800003051758,254.550003051758,255.600006103516,6288,255.600006103516,2025-02-10
255.600006103516,256.100006103516,255.050003051758,256,6842,256,2025-02-11
256.600006103516,256.600006103516,255,256.299987792969,7631,256.299987792969,2025-02-12
258.100006103516,259.299987792969,256.799987792969,259.299987792969,27348,259.299987792969,2025-02-13
259,259.700012207031,258.299987792969,258.75,10651,258.75,2025-02-14
258.899993896484,260.149993896484,258.75,260.100006103516,7964,260.100006103516,2025-02-17
260.5,261.25,259.75,260.950012207031,11604,260.950012207031,2025-02-18
261,261.100006103516,258.100006103516,258.5,16214,258.5,2025-02-19
258.799987792969,259.600006103516,258,258.200012207031,7640,258.200012207031,2025-02-20
258.75,259.850006103516,258.600006103516,259.549987792969,5839,259.549987792969,2025-02-21
259.75,260.200012207031,258,259.350006103516,15577,259.350006103516,2025-02-24
259.25,260.950012207031,259.049987792969,259.549987792969,25463,259.549987792969,2025-02-25
261.149993896484,262.700012207031,260.549987792969,262.299987792969,15183,262.299987792969,2025-02-26
260.850006103516,261.649993896484,259.899993896484,261.149993896484,22093,261.149993896484,2025-02-27
259.549987792969,261.100006103516,258.899993896484,261.100006103516,19646,261.100006103516,2025-02-28
