"C3M.MI.Open","C3M.MI.High","C3M.MI.Low","C3M.MI.Close","C3M.MI.Volume","C3M.MI.Adjusted","Date"
116.930000305176,116.959999084473,116.919998168945,116.940002441406,1476,116.940002441406,2020-10-19
116.949996948242,116.980003356934,116.540000915527,116.540000915527,3293,116.540000915527,2020-10-20
116.919998168945,116.970001220703,116.919998168945,116.940002441406,2362,116.940002441406,2020-10-21
116.919998168945,116.959999084473,116.910003662109,116.889999389648,7350,116.889999389648,2020-10-22
116.910003662109,116.970001220703,116.900001525879,116.970001220703,1263,116.970001220703,2020-10-23
116.910003662109,116.940002441406,116.900001525879,116.930000305176,3655,116.930000305176,2020-10-26
116.940002441406,116.959999084473,116.910003662109,116.930000305176,1624,116.930000305176,2020-10-27
116.910003662109,116.949996948242,116.910003662109,116.930000305176,1191,116.930000305176,2020-10-28
116.900001525879,116.930000305176,116.879997253418,116.910003662109,1794,116.910003662109,2020-10-29
116.919998168945,116.940002441406,116.879997253418,116.919998168945,2871,116.919998168945,2020-10-30
116.889999389648,116.940002441406,116.889999389648,116.919998168945,6090,116.919998168945,2020-11-02
116.889999389648,116.930000305176,116.860000610352,116.889999389648,1574,116.889999389648,2020-11-03
116.910003662109,116.940002441406,116.870002746582,116.940002441406,26256,116.940002441406,2020-11-04
116.930000305176,116.930000305176,116.870002746582,116.900001525879,5635,116.900001525879,2020-11-05
116.870002746582,116.930000305176,116.870002746582,116.930000305176,3212,116.930000305176,2020-11-06
116.879997253418,116.940002441406,116.860000610352,116.900001525879,3580,116.900001525879,2020-11-09
116.860000610352,116.910003662109,116.860000610352,116.889999389648,1273,116.889999389648,2020-11-10
116.910003662109,116.910003662109,116.849998474121,116.889999389648,7957,116.889999389648,2020-11-11
116.849998474121,116.910003662109,116.849998474121,116.849998474121,64026,116.849998474121,2020-11-12
116.900001525879,116.900001525879,116.849998474121,116.900001525879,8594,116.900001525879,2020-11-13
116.860000610352,116.910003662109,116.849998474121,116.879997253418,9362,116.879997253418,2020-11-16
116.889999389648,116.889999389648,116.839996337891,116.870002746582,1230,116.870002746582,2020-11-17
116.839996337891,116.889999389648,116.839996337891,116.889999389648,2543,116.889999389648,2020-11-18
116.819999694824,116.900001525879,116.819999694824,116.860000610352,3219,116.860000610352,2020-11-19
116.900001525879,116.900001525879,116.819999694824,116.879997253418,2378,116.879997253418,2020-11-20
116.870002746582,116.879997253418,116.830001831055,116.830001831055,1764,116.830001831055,2020-11-23
116.879997253418,116.879997253418,116.839996337891,116.860000610352,33719,116.860000610352,2020-11-24
116.839996337891,116.870002746582,116.830001831055,116.849998474121,3150,116.849998474121,2020-11-25
116.860000610352,116.860000610352,116.819999694824,116.849998474121,2004,116.849998474121,2020-11-26
116.860000610352,116.860000610352,116.819999694824,116.819999694824,5314,116.819999694824,2020-11-27
116.860000610352,116.860000610352,116.819999694824,116.839996337891,8337,116.839996337891,2020-11-30
116.849998474121,116.870002746582,116.819999694824,116.849998474121,4133,116.849998474121,2020-12-01
116.860000610352,116.870002746582,116.809997558594,116.870002746582,8046,116.870002746582,2020-12-02
116.860000610352,116.860000610352,116.809997558594,116.839996337891,6554,116.839996337891,2020-12-03
116.870002746582,116.870002746582,116.790000915527,116.860000610352,4170,116.860000610352,2020-12-04
116.790000915527,116.860000610352,116.790000915527,116.839996337891,4226,116.839996337891,2020-12-07
116.809997558594,116.809997558594,116.809997558594,116.839996337891,293,116.839996337891,2020-12-08
116.860000610352,116.860000610352,116.779998779297,116.819999694824,2464,116.819999694824,2020-12-09
116.849998474121,116.870002746582,116.790000915527,116.839996337891,3560,116.839996337891,2020-12-10
116.809997558594,116.860000610352,116.809997558594,116.830001831055,3403,116.830001831055,2020-12-11
116.830001831055,116.839996337891,116.800003051758,116.839996337891,9132,116.839996337891,2020-12-14
116.849998474121,116.849998474121,116.800003051758,116.849998474121,5325,116.849998474121,2020-12-15
116.839996337891,116.839996337891,116.800003051758,116.830001831055,840,116.830001831055,2020-12-16
116.839996337891,116.839996337891,116.790000915527,116.790000915527,4918,116.790000915527,2020-12-17
116.790000915527,116.839996337891,116.779998779297,116.839996337891,989,116.839996337891,2020-12-18
116.830001831055,116.830001831055,116.779998779297,116.809997558594,16930,116.809997558594,2020-12-21
116.830001831055,116.849998474121,116.76000213623,116.800003051758,1950,116.800003051758,2020-12-22
116.819999694824,116.830001831055,116.769996643066,116.830001831055,11107,116.830001831055,2020-12-23
116.75,116.830001831055,116.75,116.830001831055,926,116.830001831055,2020-12-28
116.809997558594,116.809997558594,116.76000213623,116.790000915527,3996,116.790000915527,2020-12-29
116.75,116.800003051758,116.75,116.779998779297,893,116.779998779297,2020-12-30
116.779998779297,116.919998168945,116.730003356934,116.919998168945,1267,116.919998168945,2021-01-04
116.779998779297,116.779998779297,116.720001220703,116.76000213623,1850,116.76000213623,2021-01-05
116.720001220703,116.720001220703,116.720001220703,116.730003356934,254,116.730003356934,2021-01-06
116.690002441406,116.769996643066,116.690002441406,116.709999084473,10046,116.709999084473,2021-01-07
116.709999084473,116.889999389648,116.709999084473,116.889999389648,1584,116.889999389648,2021-01-08
116.76000213623,116.76000213623,116.699996948242,116.73999786377,12803,116.73999786377,2021-01-11
116.699996948242,116.830001831055,116.669998168945,116.76000213623,2128,116.76000213623,2021-01-12
116.699996948242,116.73999786377,116.699996948242,116.720001220703,1357,116.720001220703,2021-01-13
116.73999786377,116.75,116.690002441406,116.75,5363,116.75,2021-01-14
116.730003356934,116.73999786377,116.669998168945,116.680000305176,3687,116.680000305176,2021-01-15
116.690002441406,116.730003356934,116.680000305176,116.709999084473,2096,116.709999084473,2021-01-18
116.730003356934,116.73999786377,116.680000305176,116.709999084473,9737,116.709999084473,2021-01-19
116.680000305176,116.730003356934,116.669998168945,116.699996948242,1530,116.699996948242,2021-01-20
116.720001220703,116.730003356934,116.669998168945,116.699996948242,822,116.699996948242,2021-01-21
116.669998168945,116.720001220703,116.669998168945,116.720001220703,1067,116.720001220703,2021-01-22
116.660003662109,116.730003356934,116.629997253418,116.660003662109,5429,116.660003662109,2021-01-25
116.709999084473,116.720001220703,116.660003662109,116.720001220703,5675,116.720001220703,2021-01-26
116.709999084473,116.720001220703,116.639999389648,116.639999389648,1248,116.639999389648,2021-01-27
116.699996948242,116.709999084473,116.629997253418,116.709999084473,2193,116.709999084473,2021-01-28
116.650001525879,116.730003356934,116.620002746582,116.709999084473,13331,116.709999084473,2021-01-29
116.650001525879,116.720001220703,116.620002746582,116.669998168945,1488,116.669998168945,2021-02-01
116.639999389648,116.690002441406,116.629997253418,116.660003662109,2932,116.660003662109,2021-02-02
116.639999389648,116.690002441406,116.620002746582,116.669998168945,2946,116.669998168945,2021-02-03
116.690002441406,116.699996948242,116.639999389648,116.639999389648,1891,116.639999389648,2021-02-04
116.650001525879,116.690002441406,116.629997253418,116.690002441406,1653,116.690002441406,2021-02-05
116.690002441406,116.690002441406,116.610000610352,116.660003662109,2752,116.660003662109,2021-02-08
116.639999389648,116.690002441406,116.629997253418,116.650001525879,696,116.650001525879,2021-02-09
116.669998168945,116.680000305176,116.629997253418,116.650001525879,2306,116.650001525879,2021-02-10
116.629997253418,116.680000305176,116.599998474121,116.620002746582,1123,116.620002746582,2021-02-11
116.669998168945,116.680000305176,116.620002746582,116.680000305176,2063,116.680000305176,2021-02-12
116.629997253418,116.669998168945,116.620002746582,116.669998168945,676,116.669998168945,2021-02-15
116.610000610352,116.680000305176,116.610000610352,116.639999389648,1922,116.639999389648,2021-02-16
116.660003662109,116.669998168945,116.599998474121,116.639999389648,2580,116.639999389648,2021-02-17
116.610000610352,116.660003662109,116.599998474121,116.629997253418,7957,116.629997253418,2021-02-18
116.650001525879,116.660003662109,116.599998474121,116.660003662109,4729,116.660003662109,2021-02-19
116.610000610352,116.680000305176,116.589996337891,116.620002746582,1587,116.620002746582,2021-02-22
116.639999389648,116.660003662109,116.569999694824,116.589996337891,890,116.589996337891,2021-02-23
116.589996337891,116.650001525879,116.580001831055,116.589996337891,1413,116.589996337891,2021-02-24
116.580001831055,116.629997253418,116.559997558594,116.610000610352,5263,116.610000610352,2021-02-25
116.589996337891,116.639999389648,116.580001831055,116.599998474121,2067,116.599998474121,2021-02-26
116.599998474121,116.629997253418,116.580001831055,116.599998474121,3203,116.599998474121,2021-03-01
116.629997253418,116.639999389648,116.580001831055,116.610000610352,1068,116.610000610352,2021-03-02
116.580001831055,116.629997253418,116.569999694824,116.599998474121,1264,116.599998474121,2021-03-03
116.569999694824,116.650001525879,116.569999694824,116.599998474121,8117,116.599998474121,2021-03-04
116.580001831055,116.629997253418,116.529998779297,116.599998474121,3326,116.599998474121,2021-03-05
116.610000610352,116.629997253418,116.569999694824,116.629997253418,4641,116.629997253418,2021-03-08
116.620002746582,116.629997253418,116.559997558594,116.589996337891,1339,116.589996337891,2021-03-09
116.610000610352,116.620002746582,116.559997558594,116.559997558594,1221,116.559997558594,2021-03-10
116.599998474121,116.599998474121,116.540000915527,116.589996337891,1193,116.589996337891,2021-03-11
116.569999694824,116.610000610352,116.559997558594,116.610000610352,11007,116.610000610352,2021-03-12
116.559997558594,116.610000610352,116.550003051758,116.580001831055,1252,116.580001831055,2021-03-15
116.559997558594,116.629997253418,116.540000915527,116.580001831055,3719,116.580001831055,2021-03-16
