"GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted","Date"
204.190002441406,204.830001831055,202.029998779297,202.220001220703,4681400,179.483291625977,2020-09-09
203.729995727539,205.350006103516,199.550003051758,200.009994506836,2510300,177.521789550781,2020-09-10
200.240005493164,201.910003662109,198.949996948242,200.919998168945,2376400,178.329467773438,2020-09-11
203.300003051758,203.300003051758,200.669998168945,201.339996337891,2756900,178.702285766602,2020-09-14
202,202.589996337891,197.979995727539,198,3717600,175.73779296875,2020-09-15
198.490005493164,203.800003051758,198.070007324219,200.679992675781,3571400,178.116455078125,2020-09-16
198.210006713867,199.889999389648,194.509994506836,194.830001831055,4274800,172.924194335938,2020-09-17
195.009994506836,196.649993896484,192.380004882812,194.860000610352,9066300,172.950836181641,2020-09-18
189.899993896484,194.169998168945,187.470001220703,194,4871300,172.187530517578,2020-09-21
194,196.139999389648,188.429992675781,191.619995117188,3355800,170.075134277344,2020-09-22
192,192.919998168945,185.869995117188,186.119995117188,3116100,165.193511962891,2020-09-23
188.979995727539,197.460006713867,187.050003051758,195.110000610352,5114600,173.172729492188,2020-09-24
192.960006713867,195.389999389648,189.610000610352,194.949996948242,3106000,173.030715942383,2020-09-25
197.779998779297,201.869995117188,197.149993896484,199.070007324219,3280100,176.687484741211,2020-09-28
198.160003662109,198.770004272461,195.429992675781,196.789993286133,2400000,174.663803100586,2020-09-29
198.679992675781,203.080001831055,198.360000610352,200.970001220703,3075800,178.373840332031,2020-09-30
201.529998779297,203.130004882812,197.869995117188,198.550003051758,2288700,176.225952148438,2020-10-01
195.339996337891,200.699996948242,195.289993286133,199.899993896484,2541200,177.42414855957,2020-10-02
201.929992675781,202.839996337891,199.589996337891,201.800003051758,2551600,179.11051940918,2020-10-05
204.25,206.089996337891,199.899993896484,201.089996337891,2833100,178.480346679688,2020-10-06
203.899993896484,205,201.169998168945,203.600006103516,2326600,180.708160400391,2020-10-07
205.149993896484,208.160003662109,204.110000610352,207.979995727539,2330600,184.595672607422,2020-10-08
208.759994506836,209.809997558594,206.070007324219,207.539993286133,3040900,184.205154418945,2020-10-09
207.410003662109,214.889999389648,207.410003662109,214.119995117188,3474200,190.045288085938,2020-10-12
214.009994506836,214.110000610352,209.179992675781,210.809997558594,3317300,187.107482910156,2020-10-13
213.880004882812,214.449996948242,210.270004272461,211.229995727539,7550100,187.480239868164,2020-10-14
209.580001831055,210.729995727539,206.899993896484,208.600006103516,4325700,185.145950317383,2020-10-15
208.320007324219,210,205.809997558594,206.210006713867,3244500,183.024673461914,2020-10-16
207.389999389648,207.910003662109,204.589996337891,205.690002441406,3235300,182.56315612793,2020-10-19
206.699996948242,211.380004882812,206.470001220703,208.029998779297,3335500,184.640090942383,2020-10-20
207.389999389648,207.949996948242,202.009994506836,202.910003662109,3083600,180.095733642578,2020-10-21
203.199996948242,206.369995117188,202.199996948242,205.399993896484,2136900,182.305740356445,2020-10-22
206.759994506836,208.210006713867,204.020004272461,205.039993286133,2110200,181.986251831055,2020-10-23
202.490005493164,202.809997558594,198.509994506836,201.139999389648,3249700,178.52473449707,2020-10-26
200,200.589996337891,195.410003662109,195.679992675781,3430400,173.678619384766,2020-10-27
191.309997558594,193.369995117188,188.940002441406,189.770004272461,4214600,168.433135986328,2020-10-28
189.800003051758,192.350006103516,186.899993896484,189.940002441406,3581200,168.583999633789,2020-10-29
189.509994506836,190.399993896484,185.520004272461,189.039993286133,3658800,167.785186767578,2020-10-30
192,192.699996948242,188.229995727539,190.199996948242,2459600,168.814758300781,2020-11-02
193.940002441406,199,193.220001220703,197.929992675781,4545500,175.675628662109,2020-11-03
196.25,200.820007324219,194.899993896484,197.869995117188,3868500,175.62239074707,2020-11-04
199.649993896484,204.119995117188,199.059997558594,202.960006713867,2892800,180.140090942383,2020-11-05
204.339996337891,204.389999389648,200.419998168945,201.259994506836,2475100,178.631240844727,2020-11-06
214.490005493164,218,209.369995117188,214.929992675781,6960500,190.764251708984,2020-11-09
215.25,218.380004882812,211.179992675781,217.470001220703,4166500,193.018661499023,2020-11-10
218.639999389648,219.919998168945,215.029998779297,218.050003051758,2680700,193.533432006836,2020-11-11
215.220001220703,216.860000610352,212.399993896484,214.509994506836,3005500,190.391494750977,2020-11-12
215.850006103516,220.960006713867,215.410003662109,219.080001831055,2832100,194.447677612305,2020-11-13
223.529998779297,224.600006103516,220.029998779297,222.380004882812,3004700,197.376602172852,2020-11-16
220.020004272461,224.850006103516,218.330001831055,224.649993896484,2722900,199.391403198242,2020-11-17
225,227.720001220703,223.509994506836,224.300003051758,2856200,199.08073425293,2020-11-18
224.300003051758,224.940002441406,222.110000610352,224.570007324219,1505200,199.320358276367,2020-11-19
223,224.809997558594,222.630004882812,223.350006103516,1848100,198.237548828125,2020-11-20
226.059997558594,230,225.729995727539,228.830001831055,3371300,203.101425170898,2020-11-23
231.100006103516,238.119995117188,230.630004882812,237.5,3915200,210.796585083008,2020-11-24
235,237.449996948242,232.429992675781,236.539993286133,2272800,209.94450378418,2020-11-25
237,237.300003051758,233.789993286133,235.399993896484,1050400,208.932662963867,2020-11-27
232.050003051758,235,230.360000610352,230.580001831055,2705400,204.65461730957,2020-11-30
231.960006713867,234.869995117188,231.350006103516,232.080001831055,2577600,207.108749389648,2020-12-01
232.080001831055,238.130004882812,231.580001831055,237.649993896484,2136300,212.079391479492,2020-12-02
237.289993286133,238.850006103516,234.639999389648,235.470001220703,2142600,210.134017944336,2020-12-03
237.699996948242,239.75,236.949996948242,239.580001831055,2373000,213.801773071289,2020-12-04
238.539993286133,239.850006103516,235.449996948242,238.449996948242,1788600,212.793350219727,2020-12-07
237.009994506836,239.190002441406,236.580001831055,238.839996337891,1371800,213.141418457031,2020-12-08
240,245.360000610352,239.529998779297,242.820007324219,3552300,216.693161010742,2020-12-09
240,245.179992675781,239.509994506836,244.399993896484,2541700,218.103103637695,2020-12-10
240.809997558594,241.199996948242,237.100006103516,239.990005493164,2077300,214.167617797852,2020-12-11
243.279998779297,243.5,237.389999389648,237.789993286133,1927800,212.204360961914,2020-12-14
239.5,243.610000610352,237.190002441406,242.429992675781,2348000,216.345108032227,2020-12-15
243.559997558594,243.899993896484,241.119995117188,243.770004272461,2400900,217.540939331055,2020-12-16
245,245.929992675781,243,244.429992675781,2983600,218.1298828125,2020-12-17
245.389999389648,245.389999389648,240.559997558594,242.130004882812,4088100,216.077407836914,2020-12-18
250.289993286133,260.850006103516,248.759994506836,256.980010986328,7408500,229.329559326172,2020-12-21
256.859985351562,257.700012207031,249.800003051758,250.089996337891,3599800,223.180923461914,2020-12-22
251.5,260.579986572266,251.300003051758,256.450012207031,3376100,228.856597900391,2020-12-23
257.040008544922,257.619995117188,253.75,256.160003662109,968100,228.597793579102,2020-12-24
257.809997558594,262.649993896484,257,259.589996337891,2793400,231.65869140625,2020-12-28
260.260009765625,260.859985351562,256.5,258.010009765625,1430900,230.248748779297,2020-12-29
258.809997558594,260.649993896484,257.829986572266,259.450012207031,1566500,231.533843994141,2020-12-30
258.799987792969,263.929992675781,258,263.709991455078,2043100,235.335433959961,2020-12-31
267,267.579986572266,260.160003662109,265,3572000,236.486663818359,2021-01-04
263.880004882812,273.5,262.570007324219,270.929992675781,4207100,241.778610229492,2021-01-05
276.290008544922,288.380004882812,273.100006103516,285.549987792969,6383500,254.825469970703,2021-01-06
287.769989013672,295.890014648438,286.679992675781,291.649993896484,4009700,260.269134521484,2021-01-07
292,292.279998779297,285.059997558594,290.079986572266,2800800,258.868103027344,2021-01-08
286.799987792969,295,284.200012207031,293.829986572266,2649700,262.214508056641,2021-01-11
297.140014648438,303.980010986328,296.019989013672,302.209991455078,4814400,269.692901611328,2021-01-12
300.079986572266,303.720001220703,299.100006103516,302.940002441406,2413800,270.344360351562,2021-01-13
304.049987792969,309.410003662109,303.540008544922,307.869995117188,3192200,274.743896484375,2021-01-14
301.190002441406,304.859985351562,296.880004882812,301.010009765625,3863700,268.6220703125,2021-01-15
305,306.600006103516,293.799987792969,294.200012207031,6727800,262.544860839844,2021-01-19
295.820007324219,297.450012207031,287.480010986328,290.470001220703,4792600,259.216064453125,2021-01-20
290.450012207031,292.739990234375,288.529998779297,289.369995117188,2516000,258.234466552734,2021-01-21
286.690002441406,290.589996337891,285.5,289.390014648438,2568800,258.252380371094,2021-01-22
