"XGLE.MI.Open","XGLE.MI.High","XGLE.MI.Low","XGLE.MI.Close","XGLE.MI.Volume","XGLE.MI.Adjusted","Date"
254.309997558594,254.550003051758,253.050003051758,253.050003051758,1176,253.050003051758,2020-07-31
253.589996337891,253.809997558594,252.869995117188,252.869995117188,3538,252.869995117188,2020-08-03
252.979995727539,254.899993896484,252.979995727539,254.660003662109,635,254.660003662109,2020-08-04
254.470001220703,254.669998168945,253.710006713867,253.789993286133,1749,253.789993286133,2020-08-05
254.460006713867,254.779998779297,254.229995727539,254.679992675781,1626,254.679992675781,2020-08-06
254.490005493164,254.880004882812,254.399993896484,254.880004882812,1786,254.880004882812,2020-08-07
254.360000610352,255.169998168945,254.309997558594,255.169998168945,882,255.169998168945,2020-08-10
254.600006103516,254.949996948242,253.789993286133,254.360000610352,2211,254.360000610352,2020-08-11
253.419998168945,253.789993286133,253.410003662109,253.690002441406,364,253.690002441406,2020-08-12
253.839996337891,253.880004882812,252.240005493164,252.330001831055,1959,252.330001831055,2020-08-13
252.110000610352,252.770004272461,252.110000610352,252.570007324219,1072,252.570007324219,2020-08-14
252.800003051758,254.110000610352,252.779998779297,254.110000610352,674,254.110000610352,2020-08-17
253.910003662109,253.910003662109,253.119995117188,253.360000610352,1432,253.360000610352,2020-08-18
253.149993896484,254.279998779297,253.149993896484,254.100006103516,303,254.100006103516,2020-08-19
254,254.820007324219,253.779998779297,254.389999389648,1021,254.389999389648,2020-08-20
254.289993286133,254.649993896484,254.070007324219,254.080001831055,729,254.080001831055,2020-08-21
254.020004272461,254.160003662109,253.630004882812,253.880004882812,1083,253.880004882812,2020-08-24
253.940002441406,254.139999389648,252.270004272461,252.270004272461,3217,252.270004272461,2020-08-25
252.119995117188,252.649993896484,252.119995117188,252.649993896484,1585,252.649993896484,2020-08-26
253.419998168945,253.419998168945,252.240005493164,252.210006713867,1698,252.210006713867,2020-08-27
251.809997558594,252.419998168945,251.259994506836,252.259994506836,1939,252.259994506836,2020-08-28
252.610000610352,252.610000610352,251.339996337891,251.639999389648,1148,251.639999389648,2020-08-31
251.600006103516,252.029998779297,251.240005493164,252.029998779297,496,252.029998779297,2020-09-01
253.100006103516,253.720001220703,252.339996337891,253.619995117188,5166,253.619995117188,2020-09-02
253.509994506836,254.270004272461,253.100006103516,253.740005493164,968,253.740005493164,2020-09-03
253.669998168945,253.729995727539,253.149993896484,253.330001831055,1337,253.330001831055,2020-09-04
252.929992675781,253.029998779297,252.059997558594,252.059997558594,412,252.059997558594,2020-09-07
252.059997558594,253.660003662109,252.059997558594,253.410003662109,782,253.410003662109,2020-09-08
253.770004272461,253.770004272461,252.869995117188,253.009994506836,800,253.009994506836,2020-09-09
253.389999389648,253.389999389648,252.509994506836,252.919998168945,363,252.919998168945,2020-09-10
253.520004272461,254.070007324219,252.830001831055,253.979995727539,24296,253.979995727539,2020-09-11
254.270004272461,254.270004272461,253.580001831055,253.869995117188,2492,253.869995117188,2020-09-14
253.979995727539,254.270004272461,253.5,253.949996948242,1491,253.949996948242,2020-09-15
254.240005493164,254.570007324219,254.009994506836,254.270004272461,1970,254.270004272461,2020-09-16
254.270004272461,254.839996337891,253.960006713867,254.550003051758,741,254.550003051758,2020-09-17
254.639999389648,254.940002441406,254.110000610352,254.419998168945,1297,254.419998168945,2020-09-18
254.360000610352,255.520004272461,254.350006103516,255.520004272461,8818,255.520004272461,2020-09-21
255.240005493164,255.539993286133,254.830001831055,255.149993896484,1004,255.149993896484,2020-09-22
