"SGLD.MI.Open","SGLD.MI.High","SGLD.MI.Low","SGLD.MI.Close","SGLD.MI.Volume","SGLD.MI.Adjusted","Date"
178.630004882812,180.210006713867,178.100006103516,179.520004272461,7044,179.520004272461,2024-01-25
180.210006713867,180.330001831055,178.820007324219,179.190002441406,14985,179.190002441406,2024-01-26
181.100006103516,181.669998168945,180.600006103516,180.979995727539,12319,180.979995727539,2024-01-29
181.610000610352,182.199996948242,180.800003051758,180.970001220703,12872,180.970001220703,2024-01-30
181.729995727539,182.570007324219,181.199996948242,182.419998168945,22838,182.419998168945,2024-01-31
182.559997558594,183.320007324219,181.199996948242,183.190002441406,22606,183.190002441406,2024-02-01
182.320007324219,182.410003662109,181.160003662109,181.910003662109,45483,181.910003662109,2024-02-02
181.330001831055,181.949996948242,180.960006713867,181.720001220703,17668,181.720001220703,2024-02-05
181.75,183.119995117188,181.619995117188,182.869995117188,36196,182.869995117188,2024-02-06
182.289993286133,183.059997558594,181.970001220703,182.839996337891,14519,182.839996337891,2024-02-07
181.910003662109,182.440002441406,181.440002441406,181.899993896484,20182,181.899993896484,2024-02-08
181.929992675781,182.199996948242,180.75,180.960006713867,10913,180.960006713867,2024-02-09
181.009994506836,181.419998168945,180.279998779297,180.339996337891,14512,180.339996337891,2024-02-12
181.410003662109,181.699996948242,179.279998779297,179.559997558594,11565,179.559997558594,2024-02-13
179.380004882812,179.740005493164,178.729995727539,179.050003051758,14780,179.050003051758,2024-02-14
179.300003051758,179.740005493164,179.029998779297,179.380004882812,8484,179.380004882812,2024-02-15
179.699996948242,180.100006103516,179.160003662109,180,12235,180,2024-02-16
180.800003051758,180.970001220703,180.470001220703,180.800003051758,15379,180.800003051758,2024-02-19
181.039993286133,181.199996948242,180.460006713867,181.059997558594,60916,181.059997558594,2024-02-20
181.050003051758,181.360000610352,180.580001831055,180.649993896484,7920,180.649993896484,2024-02-21
180.580001831055,180.820007324219,180.199996948242,180.399993896484,53079,180.399993896484,2024-02-22
180.179992675781,181.490005493164,179.779998779297,181.289993286133,45360,181.289993286133,2024-02-23
181.320007324219,181.389999389648,180.100006103516,180.330001831055,24613,180.330001831055,2024-02-26
180.899993896484,181.300003051758,180.660003662109,180.850006103516,70006,180.850006103516,2024-02-27
180.809997558594,181.820007324219,180.639999389648,180.979995727539,17672,180.979995727539,2024-02-28
181.320007324219,182.649993896484,180.669998168945,182.429992675781,21246,182.429992675781,2024-02-29
182.389999389648,185.009994506836,181.970001220703,185.009994506836,22343,185.009994506836,2024-03-01
185.419998168945,188.240005493164,185,188.240005493164,28577,188.240005493164,2024-03-04
188.199996948242,190.050003051758,188.190002441406,188.889999389648,28784,188.889999389648,2024-03-05
188.979995727539,190.389999389648,188.449996948242,189.800003051758,16306,189.800003051758,2024-03-06
190.949996948242,191.779998779297,189.800003051758,190.149993896484,23798,190.149993896484,2024-03-07
190.779998779297,192,190.520004272461,191.809997558594,19650,191.809997558594,2024-03-08
192.360000610352,193.169998168945,191.880004882812,192.600006103516,23160,192.600006103516,2024-03-11
192.070007324219,192.460006713867,178,191.309997558594,32484,191.309997558594,2024-03-12
