"CSUS.MI.Open","CSUS.MI.High","CSUS.MI.Low","CSUS.MI.Close","CSUS.MI.Volume","CSUS.MI.Adjusted","Date"
302.170013427734,302.559997558594,302.170013427734,302.799987792969,24,302.799987792969,2020-11-16
301.679992675781,301.679992675781,301,301.209991455078,24,301.209991455078,2020-11-17
301.209991455078,301.209991455078,301.209991455078,301.209991455078,0,301.209991455078,2020-11-18
297.709991455078,298.559997558594,297.709991455078,298.959991455078,603,298.959991455078,2020-11-19
298.959991455078,298.959991455078,298.959991455078,298.959991455078,0,298.959991455078,2020-11-20
299.679992675781,299.679992675781,298.619995117188,299.260009765625,36,299.260009765625,2020-11-23
301.5,303.480010986328,301.369995117188,303.170013427734,633,303.170013427734,2020-11-24
304.179992675781,304.179992675781,304.179992675781,302.589996337891,2,302.589996337891,2020-11-25
303.420013427734,303.869995117188,303.25,303.429992675781,42,303.429992675781,2020-11-26
303.760009765625,304.070007324219,303.079986572266,303.079986572266,61,303.079986572266,2020-11-27
301.670013427734,302.170013427734,300.149993896484,300.149993896484,183,300.149993896484,2020-11-30
304.130004882812,305.579986572266,303.25,303.420013427734,1117,303.420013427734,2020-12-01
301.700012207031,302.369995117188,301.359985351562,301.359985351562,113,301.359985351562,2020-12-02
301.380004882812,301.380004882812,300.279998779297,301.359985351562,1660,301.359985351562,2020-12-03
301,303.049987792969,301,303.049987792969,524,303.049987792969,2020-12-04
302.440002441406,303.510009765625,302.440002441406,303.75,39,303.75,2020-12-07
303.230010986328,304.100006103516,302.320007324219,304.230010986328,812,304.230010986328,2020-12-08
305.549987792969,305.549987792969,304.950012207031,304.950012207031,95,304.950012207031,2020-12-09
302.450012207031,302.5,301.720001220703,302.5,216,302.5,2020-12-10
299.769989013672,300.760009765625,299.769989013672,300.420013427734,241,300.420013427734,2020-12-11
302.399993896484,304.350006103516,302.269989013672,302.269989013672,5659,302.269989013672,2020-12-14
301.859985351562,301.859985351562,301.170013427734,301.670013427734,99,301.670013427734,2020-12-15
303.720001220703,303.940002441406,303.109985351562,303.940002441406,253,303.940002441406,2020-12-16
303.899993896484,303.920013427734,303.130004882812,303.549987792969,203,303.549987792969,2020-12-17
303.799987792969,304.690002441406,302.5,302.929992675781,104,302.929992675781,2020-12-18
303.119995117188,303.119995117188,298.410003662109,300.470001220703,173,300.470001220703,2020-12-21
302.869995117188,304.320007324219,302.869995117188,303.730010986328,111,303.730010986328,2020-12-22
304.220001220703,304.880004882812,303.890014648438,304.589996337891,618,304.589996337891,2020-12-23
305.329986572266,306.779998779297,305.329986572266,306.029998779297,385,306.029998779297,2020-12-28
306.549987792969,306.880004882812,305.179992675781,305.399993896484,228,305.399993896484,2020-12-29
305.5,305.5,304.660003662109,304.660003662109,45,304.660003662109,2020-12-30
307.179992675781,307.179992675781,300.820007324219,301.700012207031,512,301.700012207031,2021-01-04
302,302.200012207031,301.600006103516,301.959991455078,314,301.959991455078,2021-01-05
305.609985351562,305.609985351562,305.609985351562,306.980010986328,25,306.980010986328,2021-01-06
307.290008544922,310.190002441406,307.290008544922,310.190002441406,69,310.190002441406,2021-01-07
311.429992675781,312.049987792969,311.239990234375,311.339996337891,66,311.339996337891,2021-01-08
311.929992675781,313.700012207031,311.929992675781,313.700012207031,97,313.700012207031,2021-01-11
313.019989013672,313.869995117188,313.019989013672,313.269989013672,73,313.269989013672,2021-01-12
312.089996337891,313.959991455078,311.720001220703,313.959991455078,460,313.959991455078,2021-01-13
314.329986572266,315.519989013672,313.839996337891,314.790008544922,2509,314.790008544922,2021-01-14
312.140014648438,312.970001220703,312.130004882812,312.589996337891,151,312.589996337891,2021-01-15
312.220001220703,313.070007324219,312.130004882812,313.059997558594,177,313.059997558594,2021-01-18
313.700012207031,313.700012207031,312.570007324219,312.670013427734,324,312.670013427734,2021-01-19
314,317.820007324219,314,317.820007324219,405,317.820007324219,2021-01-20
318.549987792969,318.869995117188,317.429992675781,317.75,176,317.75,2021-01-21
315.140014648438,315.859985351562,314.529998779297,315.859985351562,270,315.859985351562,2021-01-22
317.100006103516,317.450012207031,315.589996337891,315.709991455078,216,315.709991455078,2021-01-25
317.899993896484,318.480010986328,317.049987792969,317.170013427734,226,317.170013427734,2021-01-26
317.010009765625,317.089996337891,313.25,313.359985351562,277,313.359985351562,2021-01-27
308.730010986328,314.269989013672,306.899993896484,314.269989013672,836,314.269989013672,2021-01-28
309.239990234375,310.390014648438,307.790008544922,307.790008544922,343,307.790008544922,2021-01-29
311.269989013672,311.679992675781,310.679992675781,311.679992675781,252,311.679992675781,2021-02-01
314.899993896484,319.559997558594,314.899993896484,319.559997558594,199,319.559997558594,2021-02-02
320.559997558594,320.559997558594,319.049987792969,319.359985351562,331,319.359985351562,2021-02-03
320.420013427734,322.809997558594,320.359985351562,322.809997558594,301,322.809997558594,2021-02-04
324.339996337891,325.670013427734,323.869995117188,324,220,324,2021-02-05
324.839996337891,325.420013427734,324.709991455078,324.809997558594,114,324.809997558594,2021-02-08
324.350006103516,324.890014648438,323.829986572266,324.459991455078,182,324.459991455078,2021-02-09
325,325.279998779297,322.690002441406,323.609985351562,383,323.609985351562,2021-02-10
324.660003662109,325.170013427734,324.239990234375,324.769989013672,253,324.769989013672,2021-02-11
324.299987792969,325.489990234375,324.239990234375,325.489990234375,308,325.489990234375,2021-02-12
327.369995117188,327.890014648438,327.209991455078,327.809997558594,314,327.809997558594,2021-02-15
327.200012207031,327.859985351562,326.570007324219,326.570007324219,203,326.570007324219,2021-02-16
326.899993896484,327.679992675781,325.649993896484,325.649993896484,177,325.649993896484,2021-02-17
327.290008544922,327.299987792969,323.470001220703,324.200012207031,365,324.200012207031,2021-02-18
323.790008544922,325.299987792969,323.790008544922,325.299987792969,196,325.299987792969,2021-02-19
321.220001220703,321.220001220703,320.450012207031,320.929992675781,943,320.929992675781,2021-02-22
319.779998779297,319.779998779297,314.160003662109,317.890014648438,979,317.890014648438,2021-02-23
320.130004882812,322.010009765625,319.829986572266,322.010009765625,224,322.010009765625,2021-02-24
322,322,318.359985351562,318.359985351562,587,318.359985351562,2021-02-25
316.399993896484,317.519989013672,316.260009765625,317.519989013672,94,317.519989013672,2021-02-26
319.440002441406,323.510009765625,319.440002441406,323.510009765625,154,323.510009765625,2021-03-01
323.929992675781,324.600006103516,321.510009765625,321.510009765625,396,321.510009765625,2021-03-02
322.450012207031,322.850006103516,318.380004882812,319.859985351562,2617,319.859985351562,2021-03-03
315.940002441406,317.720001220703,314.739990234375,316.579986572266,1651,316.579986572266,2021-03-04
314.200012207031,317.799987792969,312.329986572266,312.329986572266,4102,312.329986572266,2021-03-05
318.929992675781,325.369995117188,318.690002441406,324.899993896484,176,324.899993896484,2021-03-08
322.350006103516,325.880004882812,322.220001220703,325.880004882812,278,325.880004882812,2021-03-09
324.700012207031,326.920013427734,324.700012207031,326.920013427734,221,326.920013427734,2021-03-10
327.019989013672,329.579986572266,327.019989013672,329.579986572266,422,329.579986572266,2021-03-11
327.600006103516,327.950012207031,327.600006103516,327.700012207031,126,327.700012207031,2021-03-12
329.929992675781,330.600006103516,329.670013427734,329.850006103516,292,329.850006103516,2021-03-15
332.029998779297,333.589996337891,331.720001220703,333.079986572266,236,333.079986572266,2021-03-16
331.820007324219,331.820007324219,330.670013427734,330.670013427734,182,330.670013427734,2021-03-17
330.420013427734,331.279998779297,330.190002441406,331.059997558594,157,331.059997558594,2021-03-18
328.970001220703,328.980010986328,327.519989013672,328.630004882812,191,328.630004882812,2021-03-19
327.369995117188,329.690002441406,327.369995117188,329.690002441406,258,329.690002441406,2021-03-22
329.320007324219,331.230010986328,329.320007324219,331.230010986328,363,331.230010986328,2021-03-23
330.480010986328,331.700012207031,330.480010986328,331.700012207031,239,331.700012207031,2021-03-24
329,329,326.589996337891,328.989990234375,225,328.989990234375,2021-03-25
331.320007324219,332.410003662109,330.829986572266,332.410003662109,1003,332.410003662109,2021-03-26
333.420013427734,335.380004882812,333.399993896484,334.179992675781,241,334.179992675781,2021-03-29
335,336,335,336,266,336,2021-03-30
